Gym Name,Latitude,Longitude
Phoenix Gym,51.5068235,0.0732062
Physical Culture Gymnasium,51.4617632,-0.2104237
Physical Culture Gymnasium,51.4617606,-0.2104264
Pilates Body Studio,51.4410033,0.1511022
Pilates in Surbiton,51.3982504,-0.2803864
pilates living N16,51.558773,-0.0870866
Pilates Tonic,51.5350926,-0.1823254
Pilates Vibes,51.5080991,0.0720017
Pilates West,51.4968469,-0.231808
Pineapple studios,51.5133603,-0.125282
powerhousefitness.co.uk,51.5089528,-0.1253624
Powervibe Fitness Studio,51.5175218,-0.2036157
Powerwave,51.4677631,-0.2534108
Progressive Fitness UK,51.4142332,0.0197548
ProtoFit,51.6332566,-0.1268666
Proud Active,51.5298459,-0.0563374
Psycle,51.524115,-0.0746818
Psycle,51.51759,-0.1423178
Psycle,51.5155014,-0.190089
Psycle,51.4940084,-0.1481489
Psycle,51.4608214,-0.1680544
pure gym,51.5390531,-0.1429347
PureGym,51.6498464,-0.1726425
PureGym,51.6488455,-0.0567177
PureGym,51.6333838,-0.1263511
PureGym,51.6126089,-0.1770669
PureGym,51.5947851,-0.1859564
PureGym,51.5898007,-0.1414872
PureGym,51.5817327,-0.1206387
PureGym,51.567397,0.011287
PureGym,51.5629013,-0.1074707
PureGym,51.5595838,-0.123347
PureGym,51.5539656,-0.1453889
PureGym,51.5457268,-0.178679
PureGym,51.5422991,0.0008007
PureGym,51.5417192,-0.3675832
PureGym,51.5321508,-0.0418419
PureGym,51.5307256,0.1463063
PureGym,51.5305089,-0.0747932
PureGym,51.524946,-0.2813529
PureGym,51.5241405,-0.1372319
PureGym,51.5222629,-0.1076707
PureGym,51.5220326,-0.1612214
PureGym,51.5207604,-0.1180955
PureGym,51.5171797,-0.098326
PureGym,51.5170257,-0.0881139
PureGym,51.5157526,0.0820895
PureGym,51.5145187,-0.0771143
PureGym,51.5124534,-0.036755
PureGym,51.5122137,-0.3029263
PureGym,51.5104589,-0.0045703
PureGym,51.5084779,-0.1333071
PureGym,51.5082023,-0.2770055
PureGym,51.5080077,-0.0235601
PureGym,51.5038647,-0.1095356
PureGym,51.5008338,-0.09079
PureGym,51.49757,-0.1417952
PureGym,51.4940378,-0.0614637
PureGym,51.4940301,-0.2241035
PureGym,51.4913035,0.0719932
PureGym,51.4892745,0.0265129
PureGym,51.4806815,-0.1975072
PureGym,51.4778293,-0.0814449
PureGym,51.477345,-0.0166539
PureGym,51.476214,-0.0183531
PureGym,51.4756976,-0.1315226
PureGym,51.4745383,-0.0941422
PureGym,51.4656336,-0.2625826
PureGym,51.4630262,-0.1342056
PureGym,51.462724,-0.1338614
PureGym,51.4627067,-0.0097611
PureGym,51.4619994,0.0264098
PureGym,51.4603329,-0.2140768
PureGym,51.4569187,-0.1921027
PureGym,51.4504139,0.1798482
PureGym,51.4471154,-0.0189162
PureGym,51.4453396,-0.3301083
PureGym,51.433771,-0.1285476
PureGym,51.427545,-0.0562303
PureGym,51.4193059,-0.1997682
PureGym,51.4099973,-0.3010302
PureGym,51.4017312,0.0163031
PureGym,51.3767554,0.1016581
PureGym,51.3737483,-0.1019285
PureGym,51.3633601,-0.192312
PureGym London Bayswater,51.5129341,-0.1900803
Push Studios,51.4563562,-0.0768193
Putney Jiu Jitsu and Fitness,51.4674751,-0.2194515
QMotion Sport & Fitness Centre,51.5232056,-0.0430848
Raw Gym,51.5733118,-0.0154319
Ray Stevens Academy,51.4005628,-0.2385101
Rayners Mead Outdoor Gym,51.5790276,-0.3685871
Re:form,51.4722585,-0.2468612
Red Sun Fitness,51.5260182,-0.0474455
Redbridge Sports & Leisure,51.5975883,0.0904957
Regal Boxing,51.5464997,0.0295947
Resident's Gym,51.5085392,0.0187645
Resident's Gym,51.5080603,0.0064998
Residents Gymnasium,51.5074817,0.0221996
Results,51.5983427,-0.1386602
Retreat Yoga Studio,51.475992,-0.035
Retrofit London,51.4938619,-0.1772127
Revive,51.4372263,-0.1570759
Richmond Gymnastics Association,51.4738548,-0.2761426
Richmond Hill Health Club,51.4589627,-0.3052278
Richmond Olympus,51.4662837,-0.301958
Ride Reshape,51.5079937,-0.1057608
Rize,51.4554049,-0.3203685
Roehampton Sport and Fitness Centre,51.4493564,-0.2433004
Royal Arsenal Gym,51.4929037,0.0726442
Royal Wharf Clubhouse,51.4996144,0.027095
Rumble,51.5450454,-0.0740895
Rumble,51.5205008,-0.1411306
Sapphire Ice & Leisure Centre,51.5771339,0.1852868
Score Leisure Centre,51.5587644,-0.0131914
Scott's Personal Training,51.4893086,-0.2874472
Sculpt & Sweat Studio,51.5082844,0.0158217
Shakti Space,51.5107794,0.0115778
Shanti Sadan,51.5124843,-0.2005666
Short Breaks Urban Gym,51.5200448,-0.0338264
Silkworks Gym,51.4677578,-0.0147604
Simply Gym Uxbridge,51.5487323,-0.4821902
Sivananda Yoga Vedanta Centre,51.4655453,-0.2180719
Six3Nine,51.5187911,-0.0771705
Sky Health & Fitness Centre,51.4887261,-0.3265193
Sleven,51.4882486,-0.1226693
Snap Fitness,51.4931257,-0.2701749
Snap Fitness,51.4914827,-0.1034369
Snap Fitness,51.4862113,0.0070231
Snap Fitness,51.4506194,0.0562133
Snap Fitness,51.4230479,-0.1608744
Snap Fitness,51.3606556,-0.1498682
Soho Fitness Lab,51.5142823,-0.1340585
Soho Gym,51.5157549,-0.1223839
